Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,-42.66417,-33.181336,180,bottom
C2,1u,C_0402_1005Metric,-39.290724,-36.17634,90,bottom
C3,100n,C_0402_1005Metric,-50.403252,-53.181384,0,bottom
C4,100n,C_0402_1005Metric,-40.481352,-61.0675,-90,bottom
C5,4.7u,C_0402_1005Metric,-43.01375,-61.912656,180,bottom
C6,100n,C_0402_1005Metric,-42.465732,-51.792318,90,bottom
C7,100n,C_0402_1005Metric,-48.815748,-51.792318,90,bottom
C8,100n,C_0402_1005Metric,-50.60169,-59.729838,0,bottom
C9,1u,C_0402_1005Metric,-50.60169,-58.737648,0,bottom
C10,100n,C_0402_1005Metric,-73.90429,-95.448678,0,bottom
C11,100n,C_0402_1005Metric,-192.768652,-95.448678,0,bottom
C12,220p,C_0402_1005Metric,-46.113244,-74.811126,180,bottom
C13,100n,C_0402_1005Metric,-49.891062,-61.912656,0,bottom
D1,PRTR5V0U2X,SOT-143,-45.74375,-34.131336,180,bottom
F1,500mA,Fuse_1206_3216Metric,-42.793864,-29.964138,-90,bottom
J1,Conn_01x04_Male,JST-SR-4,-66.675,-38.100096,-90,bottom
JP1,Boot0,PinHeader_1x02_P2.54mm_Vertical,-46.236054,-42.182922,180,bottom
JP2,Ext_res,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-50.403252,-76.001754,180,bottom
R1,10k,R_0402_1005Metric,-52.189194,-59.134524,90,bottom
R2,10k,R_0402_1005Metric,-46.718244,-52.272318,0,bottom
R3,10k,R_0402_1005Metric,-42.862608,-62.904846,180,bottom
R4,5.1k,R_0402_1005Metric,-37.107906,-20.439114,180,bottom
R5,5.1k,R_0402_1005Metric,-53.181384,-20.439114,0,bottom
R6,100k,R_0402_1005Metric,-37.504782,-55.959516,90,bottom
R7,100k,R_0402_1005Metric,-31.353204,-97.631496,-90,bottom
R8,100k,R_0402_1005Metric,-189.309852,-99.009544,-90,bottom
R9,100k,R_0402_1005Metric,-70.842366,-97.036182,180,bottom
R10,100k,R_0402_1005Metric,-220.464618,-99.814314,-90,bottom
R11,100k,R_0402_1005Metric,-86.518968,-92.160546,90,bottom
R12,100k,R_0402_1005Metric,-239.713104,-97.829934,-90,bottom
R13,100k,R_0402_1005Metric,-71.040804,-99.654704,-90,bottom
R14,100k,R_0402_1005Metric,-201.017694,-104.293074,-90,bottom
R15,100k,R_0402_1005Metric,-166.376358,-92.670546,180,bottom
R16,100k,R_0402_1005Metric,-81.756456,-99.654704,-90,bottom
R17,100k,R_0402_1005Metric,-258.564714,-97.036182,-90,bottom
R18,100k,R_0402_1005Metric,-147.32631,-92.670546,180,bottom
R19,100k,R_0402_1005Metric,-129.97689,-98.425248,-90,bottom
R20,100k,R_0402_1005Metric,-285.949158,-96.143992,-90,bottom
R21,1k,R_0402_1005Metric,-47.863244,-75.208002,-90,bottom
R22,100k,R_0402_1005Metric,-50.403252,-74.698002,0,bottom
R23,100,R_0402_1005Metric,-42.465732,-65.399226,90,bottom
R24,100,R_0402_1005Metric,-41.275104,-65.399226,90,bottom
R25,100,R_0402_1005Metric,-31.948518,-57.150144,0,bottom
R26,100,R_0402_1005Metric,-43.65636,-65.399226,-90,bottom
R27,100,R_0402_1005Metric,-36.314154,-55.959516,90,bottom
U1,XC6206PxxxMR,SOT-23,-41.67198,-35.71884,90,bottom
U2,STM32F401CBUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,-45.24375,-57.15,180,bottom
U3,74HC4051,TSSOP16,-76.39863,-98.822124,-90,bottom
U4,74HC4051,TSSOP16,-195.262992,-98.822124,-90,bottom
U5,OPA350,SOIC-8_3.9x4.9mm_P1.27mm,-47.228244,-70.44549,90,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,-45.24375,-17.66568,0,bottom
Y1,8MHz,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,-51.59388,-55.56264,90,bottom
